Date  AveragePrice  type  region
5/24/2015  1.18  conventional  BaltimoreWashington
5/17/2015  1.27  conventional  BaltimoreWashington
5/10/2015  1.26  conventional  BaltimoreWashington
5/3/2015  1.17  conventional  BaltimoreWashington
4/26/2015  1.29  conventional  BaltimoreWashington
4/19/2015  1.28  conventional  BaltimoreWashington
4/12/2015  1.15  conventional  BaltimoreWashington
4/5/2015  1.29  conventional  BaltimoreWashington
3/29/2015  1.25  conventional  BaltimoreWashington
3/22/2015  1.1  conventional  BaltimoreWashington
3/15/2015  1.24  conventional  BaltimoreWashington
3/8/2015  1.26  conventional  BaltimoreWashington
3/1/2015  1.16  conventional  BaltimoreWashington
2/22/2015  1.11  conventional  BaltimoreWashington
2/15/2015  1.25  conventional  BaltimoreWashington
2/8/2015  1.09  conventional  BaltimoreWashington
2/1/2015  1.06  conventional  BaltimoreWashington
1/25/2015  1.2  conventional  BaltimoreWashington
1/18/2015  1.23  conventional  BaltimoreWashington
1/11/2015  1.17  conventional  BaltimoreWashington
1/4/2015  1.08  conventional  BaltimoreWashington
12/27/2015  0.97  conventional  Boise
12/20/2015  1.03  conventional  Boise
12/13/2015  0.99  conventional  Boise
12/6/2015  0.71  conventional  Boise
11/29/2015  1.06  conventional  Boise
11/22/2015  1.09  conventional  Boise
11/15/2015  1.01  conventional  Boise
11/8/2015  1.11  conventional  Boise
11/1/2015  1.14  conventional  Boise
10/25/2015  1.11  conventional  Boise
10/18/2015  1.16  conventional  Boise
10/11/2015  0.94  conventional  Boise
10/4/2015  1.12  conventional  Boise
9/27/2015  0.99  conventional  Boise
9/20/2015  1.03  conventional  Boise
9/13/2015  1.08  conventional  Boise
9/6/2015  1.16  conventional  Boise
8/30/2015  1.19  conventional  Boise
8/23/2015  1.05  conventional  Boise
8/16/2015  1.12  conventional  Boise
8/9/2015  1.1  conventional  Boise
8/2/2015  1.07  conventional  Boise
7/26/2015  1.07  conventional  Boise
7/19/2015  1.09  conventional  Boise
7/12/2015  1.05  conventional  Boise
7/5/2015  1.15  conventional  Boise
6/28/2015  1.04  conventional  Boise
6/21/2015  1.06  conventional  Boise
6/14/2015  0.99  conventional  Boise
6/7/2015  1.12  conventional  Boise
5/31/2015  0.97  conventional  Boise
5/24/2015  1.03  conventional  Boise
5/17/2015  0.96  conventional  Boise
5/10/2015  1.06  conventional  Boise
5/3/2015  1  conventional  Boise
4/26/2015  0.96  conventional  Boise
4/19/2015  0.99  conventional  Boise
4/12/2015  1.19  conventional  Boise
4/5/2015  1.09  conventional  Boise
3/29/2015  0.98  conventional  Boise
3/22/2015  1.17  conventional  Boise
3/15/2015  1  conventional  Boise
3/8/2015  1.14  conventional  Boise
3/1/2015  1.06  conventional  Boise
2/22/2015  0.99  conventional  Boise
2/15/2015  1.14  conventional  Boise
2/8/2015  1.07  conventional  Boise
2/1/2015  0.91  conventional  Boise
1/25/2015  1.03  conventional  Boise
1/18/2015  1.08  conventional  Boise
1/11/2015  1.18  conventional  Boise
1/4/2015  1.01  conventional  Boise
12/27/2015  1.13  conventional  Boston
12/20/2015  1.07  conventional  Boston
12/13/2015  1.01  conventional  Boston
12/6/2015  1.02  conventional  Boston
11/29/2015  1.19  conventional  Boston
11/22/2015  1.07  conventional  Boston
11/15/2015  1.05  conventional  Boston
11/8/2015  1.04  conventional  Boston
11/1/2015  1.06  conventional  Boston
10/25/2015  1.02  conventional  Boston
10/18/2015  0.94  conventional  Boston
10/11/2015  1.14  conventional  Boston
10/4/2015  1.07  conventional  Boston
9/27/2015  1.07  conventional  Boston
9/20/2015  1.15  conventional  Boston
9/13/2015  1.03  conventional  Boston
9/6/2015  1.11  conventional  Boston
8/30/2015  1.13  conventional  Boston
8/23/2015  1.07  conventional  Boston
8/16/2015  1.15  conventional  Boston
8/9/2015  1.07  conventional  Boston
8/2/2015  1.17  conventional  Boston
7/26/2015  1.28  conventional  Boston
7/19/2015  1.18  conventional  Boston
7/12/2015  1.14  conventional  Boston
7/5/2015  1.27  conventional  Boston
6/28/2015  1.25  conventional  Boston
6/21/2015  1.24  conventional  Boston
6/14/2015  1.08  conventional  Boston
6/7/2015  1.25  conventional  Boston
5/31/2015  1.26  conventional  Boston
5/24/2015  1.14  conventional  Boston
5/17/2015  1.26  conventional  Boston
5/10/2015  1.14  conventional  Boston
5/3/2015  1.17  conventional  Boston
4/26/2015  1.28  conventional  Boston
4/19/2015  1.15  conventional  Boston
4/12/2015  1.26  conventional  Boston
4/5/2015  1.27  conventional  Boston
3/29/2015  1.19  conventional  Boston
3/22/2015  1.18  conventional  Boston
3/15/2015  1.25  conventional  Boston
3/8/2015  1.17  conventional  Boston
3/1/2015  1.11  conventional  Boston
2/22/2015  1.23  conventional  Boston
2/15/2015  1.2  conventional  Boston
2/8/2015  1.04  conventional  Boston
2/1/2015  1.22  conventional  Boston
1/25/2015  1.17  conventional  Boston
1/18/2015  1.23  conventional  Boston
1/11/2015  1.1  conventional  Boston
1/4/2015  1.02  conventional  Boston
12/27/2015  1.35  conventional  BuffaloRochester
12/20/2015  1.37  conventional  BuffaloRochester
12/13/2015  1.35  conventional  BuffaloRochester
12/6/2015  1.23  conventional  BuffaloRochester
11/29/2015  1.39  conventional  BuffaloRochester
11/22/2015  1.4  conventional  BuffaloRochester
11/15/2015  1.36  conventional  BuffaloRochester
11/8/2015  1.3  conventional  BuffaloRochester
11/1/2015  1.23  conventional  BuffaloRochester
10/25/2015  1.36  conventional  BuffaloRochester
10/18/2015  1.29  conventional  BuffaloRochester
10/11/2015  1.3  conventional  BuffaloRochester
10/4/2015  1.33  conventional  BuffaloRochester
9/27/2015  1.31  conventional  BuffaloRochester
9/20/2015  1.54  conventional  BuffaloRochester
9/13/2015  1.59  conventional  BuffaloRochester
9/6/2015  1.56  conventional  BuffaloRochester
8/30/2015  1.38  conventional  BuffaloRochester
8/23/2015  1.49  conventional  BuffaloRochester
8/16/2015  1.5  conventional  BuffaloRochester
8/9/2015  1.47  conventional  BuffaloRochester
8/2/2015  1.47  conventional  BuffaloRochester
7/26/2015  1.39  conventional  BuffaloRochester
7/19/2015  1.36  conventional  BuffaloRochester
7/12/2015  1.45  conventional  BuffaloRochester
7/5/2015  1.47  conventional  BuffaloRochester
6/28/2015  1.36  conventional  BuffaloRochester
6/21/2015  1.5  conventional  BuffaloRochester
6/14/2015  1.34  conventional  BuffaloRochester
6/7/2015  1.38  conventional  BuffaloRochester
5/31/2015  1.4  conventional  BuffaloRochester
5/24/2015  1.43  conventional  BuffaloRochester
5/17/2015  1.35  conventional  BuffaloRochester
5/10/2015  1.33  conventional  BuffaloRochester
5/3/2015  1.42  conventional  BuffaloRochester
4/26/2015  1.41  conventional  BuffaloRochester
4/19/2015  1.42  conventional  BuffaloRochester
4/12/2015  1.42  conventional  BuffaloRochester
4/5/2015  1.44  conventional  BuffaloRochester
3/29/2015  1.39  conventional  BuffaloRochester
3/22/2015  1.4  conventional  BuffaloRochester
3/15/2015  1.47  conventional  BuffaloRochester
3/8/2015  1.35  conventional  BuffaloRochester
3/1/2015  1.43  conventional  BuffaloRochester
2/22/2015  1.41  conventional  BuffaloRochester
2/15/2015  1.44  conventional  BuffaloRochester
2/8/2015  1.36  conventional  BuffaloRochester
2/1/2015  1.33  conventional  BuffaloRochester
1/25/2015  1.5  conventional  BuffaloRochester
1/18/2015  1.52  conventional  BuffaloRochester
1/11/2015  1.54  conventional  BuffaloRochester
1/4/2015  1.4  conventional  BuffaloRochester
12/27/2015  0.9  conventional  California
12/20/2015  0.94  conventional  California
12/13/2015  0.87  conventional  California
12/6/2015  0.78  conventional  California
11/29/2015  0.91  conventional  California
11/22/2015  0.92  conventional  California
11/15/2015  0.83  conventional  California
11/8/2015  0.98  conventional  California
11/1/2015  0.95  conventional  California
10/25/2015  1.12  conventional  California
10/18/2015  1.07  conventional  California
10/11/2015  1.08  conventional  California
10/4/2015  1.02  conventional  California
9/27/2015  1.04  conventional  California
9/20/2015  1.14  conventional  California
9/13/2015  1.13  conventional  California
9/6/2015  1.09  conventional  California
8/30/2015  1.08  conventional  California
8/23/2015  1.18  conventional  California
8/16/2015  1.11  conventional  California
8/9/2015  1.1  conventional  California
8/2/2015  1.16  conventional  California
7/26/2015  1.13  conventional  California
7/19/2015  1.18  conventional  California
7/12/2015  1.13  conventional  California
7/5/2015  1.12  conventional  California
6/28/2015  1.1  conventional  California
6/21/2015  1.07  conventional  California
6/14/2015  0.97  conventional  California
6/7/2015  0.98  conventional  California
5/31/2015  0.98  conventional  California
5/24/2015  1.1  conventional  California
5/17/2015  1.08  conventional  California
5/10/2015  0.93  conventional  California
5/3/2015  0.88  conventional  California
4/26/2015  1.15  conventional  California
4/19/2015  1.05  conventional  California
4/12/2015  1.06  conventional  California
4/5/2015  1.12  conventional  California
3/29/2015  1.1  conventional  California
3/22/2015  1.06  conventional  California
3/15/2015  1.06  conventional  California
3/8/2015  0.96  conventional  California
3/1/2015  0.84  conventional  California
2/22/2015  0.96  conventional  California
2/15/2015  0.96  conventional  California
2/8/2015  0.91  conventional  California
2/1/2015  0.85  conventional  California
1/25/2015  1.06  conventional  California
1/18/2015  1.02  conventional  California
1/11/2015  0.92  conventional  California
1/4/2015  0.93  conventional  California
12/27/2015  0.96  conventional  Charlotte
12/20/2015  0.98  conventional  Charlotte
12/13/2015  0.95  conventional  Charlotte
12/6/2015  0.99  conventional  Charlotte
11/29/2015  0.95  conventional  Charlotte
11/22/2015  1  conventional  Charlotte
11/15/2015  1.01  conventional  Charlotte
11/8/2015  1.03  conventional  Charlotte
11/1/2015  1.11  conventional  Charlotte
10/25/2015  1.27  conventional  Charlotte
10/18/2015  1.26  conventional  Charlotte
10/11/2015  1.14  conventional  Charlotte
10/4/2015  1.22  conventional  Charlotte
9/27/2015  1.09  conventional  Charlotte
9/20/2015  1.2  conventional  Charlotte
9/13/2015  1.19  conventional  Charlotte
9/6/2015  1.01  conventional  Charlotte
8/30/2015  1.2  conventional  Charlotte
8/23/2015  1.15  conventional  Charlotte
8/16/2015  1.24  conventional  Charlotte
8/9/2015  1.21  conventional  Charlotte
8/2/2015  1.24  conventional  Charlotte
7/26/2015  1.23  conventional  Charlotte
7/19/2015  1.19  conventional  Charlotte
7/12/2015  1.18  conventional  Charlotte
7/5/2015  1.18  conventional  Charlotte
6/28/2015  1.17  conventional  Charlotte
6/21/2015  1.17  conventional  Charlotte
6/14/2015  1.15  conventional  Charlotte
6/7/2015  1.15  conventional  Charlotte
5/31/2015  1.19  conventional  Charlotte
5/24/2015  1.2  conventional  Charlotte
5/17/2015  1.21  conventional  Charlotte
5/10/2015  1.19  conventional  Charlotte
5/3/2015  1  conventional  Charlotte
4/26/2015  1.2  conventional  Charlotte
4/19/2015  1.18  conventional  Charlotte
4/12/2015  1.17  conventional  Charlotte
4/5/2015  1.19  conventional  Charlotte
3/29/2015  1.23  conventional  Charlotte
3/22/2015  1.19  conventional  Charlotte
3/15/2015  1.19  conventional  Charlotte
3/8/2015  1.25  conventional  Charlotte
3/1/2015  1.18  conventional  Charlotte
2/22/2015  1.08  conventional  Charlotte
2/15/2015  1.22  conventional  Charlotte
2/8/2015  1.17  conventional  Charlotte
2/1/2015  0.98  conventional  Charlotte
1/25/2015  1.18  conventional  Charlotte
1/18/2015  1.25  conventional  Charlotte
1/11/2015  1.26  conventional  Charlotte
1/4/2015  1.19  conventional  Charlotte
12/27/2015  0.93  conventional  Chicago
12/20/2015  0.91  conventional  Chicago
12/13/2015  1.07  conventional  Chicago
12/6/2015  1.14  conventional  Chicago
11/29/2015  1.11  conventional  Chicago
11/22/2015  0.94  conventional  Chicago
11/15/2015  1.17  conventional  Chicago
11/8/2015  1.01  conventional  Chicago
11/1/2015  1  conventional  Chicago
10/25/2015  1.12  conventional  Chicago
10/18/2015  1.15  conventional  Chicago
10/11/2015  1.08  conventional  Chicago
10/4/2015  1.18  conventional  Chicago
9/27/2015  1.15  conventional  Chicago
9/20/2015  1.19  conventional  Chicago
9/13/2015  1.19  conventional  Chicago
9/6/2015  1.11  conventional  Chicago
8/30/2015  1.12  conventional  Chicago
8/23/2015  1.2  conventional  Chicago
8/16/2015  1.16  conventional  Chicago
8/9/2015  1.25  conventional  Chicago
8/2/2015  1.27  conventional  Chicago
7/26/2015  1.12  conventional  Chicago
7/19/2015  1.24  conventional  Chicago
7/12/2015  1.26  conventional  Chicago
7/5/2015  1.24  conventional  Chicago
6/28/2015  1.21  conventional  Chicago
6/21/2015  1.24  conventional  Chicago
6/14/2015  1.21  conventional  Chicago
6/7/2015  1.24  conventional  Chicago
5/31/2015  1.26  conventional  Chicago
5/24/2015  1.23  conventional  Chicago
5/17/2015  1.23  conventional  Chicago
5/10/2015  1.23  conventional  Chicago
5/3/2015  1.04  conventional  Chicago
4/26/2015  1.24  conventional  Chicago
4/19/2015  1.24  conventional  Chicago
4/12/2015  1.24  conventional  Chicago
4/5/2015  1.27  conventional  Chicago
3/29/2015  1.22  conventional  Chicago
3/22/2015  1.21  conventional  Chicago
3/15/2015  1.09  conventional  Chicago
3/8/2015  1.18  conventional  Chicago
3/1/2015  1.09  conventional  Chicago
2/22/2015  1.18  conventional  Chicago
2/15/2015  1.17  conventional  Chicago
2/8/2015  1.13  conventional  Chicago
2/1/2015  0.91  conventional  Chicago
1/25/2015  1.22  conventional  Chicago
1/18/2015  1.14  conventional  Chicago
1/11/2015  1.15  conventional  Chicago
1/4/2015  1.11  conventional  Chicago
12/27/2015  0.87  conventional  CincinnatiDayton
12/20/2015  0.85  conventional  CincinnatiDayton
12/13/2015  0.79  conventional  CincinnatiDayton
12/6/2015  0.83  conventional  CincinnatiDayton
11/29/2015  0.88  conventional  CincinnatiDayton
11/22/2015  0.89  conventional  CincinnatiDayton
11/15/2015  0.88  conventional  CincinnatiDayton
11/8/2015  0.87  conventional  CincinnatiDayton
11/1/2015  0.93  conventional  CincinnatiDayton
10/25/2015  1.01  conventional  CincinnatiDayton
10/18/2015  0.98  conventional  CincinnatiDayton
10/11/2015  0.91  conventional  CincinnatiDayton
10/4/2015  0.93  conventional  CincinnatiDayton
9/27/2015  1.08  conventional  CincinnatiDayton
9/20/2015  1.05  conventional  CincinnatiDayton
9/13/2015  1.05  conventional  CincinnatiDayton
9/6/2015  1.02  conventional  CincinnatiDayton
8/30/2015  1.01  conventional  CincinnatiDayton
8/23/2015  1.05  conventional  CincinnatiDayton
8/16/2015  1.01  conventional  CincinnatiDayton
8/9/2015  1.08  conventional  CincinnatiDayton
8/2/2015  1.09  conventional  CincinnatiDayton
7/26/2015  1.03  conventional  CincinnatiDayton
7/19/2015  1.06  conventional  CincinnatiDayton
7/12/2015  1.03  conventional  CincinnatiDayton
7/5/2015  1.03  conventional  CincinnatiDayton
6/28/2015  1.01  conventional  CincinnatiDayton
6/21/2015  1.02  conventional  CincinnatiDayton
6/14/2015  1.05  conventional  CincinnatiDayton
6/7/2015  1.07  conventional  CincinnatiDayton
5/31/2015  1.06  conventional  CincinnatiDayton
5/24/2015  1.1  conventional  CincinnatiDayton
5/17/2015  1.04  conventional  CincinnatiDayton
5/10/2015  1.06  conventional  CincinnatiDayton
5/3/2015  1.08  conventional  CincinnatiDayton
4/26/2015  1.06  conventional  CincinnatiDayton
4/19/2015  1.02  conventional  CincinnatiDayton
4/12/2015  1.02  conventional  CincinnatiDayton
4/5/2015  1.06  conventional  CincinnatiDayton
3/29/2015  0.95  conventional  CincinnatiDayton
3/22/2015  0.98  conventional  CincinnatiDayton
3/15/2015  0.94  conventional  CincinnatiDayton
3/8/2015  0.87  conventional  CincinnatiDayton
3/1/2015  0.89  conventional  CincinnatiDayton
2/22/2015  0.93  conventional  CincinnatiDayton
2/15/2015  0.94  conventional  CincinnatiDayton
2/8/2015  0.93  conventional  CincinnatiDayton
2/1/2015  0.86  conventional  CincinnatiDayton
1/25/2015  0.93  conventional  CincinnatiDayton
1/18/2015  0.93  conventional  CincinnatiDayton
1/11/2015  0.92  conventional  CincinnatiDayton
1/4/2015  0.88  conventional  CincinnatiDayton
12/27/2015  0.99  conventional  Columbus
12/20/2015  1.03  conventional  Columbus
12/13/2015  1.03  conventional  Columbus
12/6/2015  0.99  conventional  Columbus
11/29/2015  1.03  conventional  Columbus
11/22/2015  1.04  conventional  Columbus
11/15/2015  0.99  conventional  Columbus
11/8/2015  0.95  conventional  Columbus
11/1/2015  0.99  conventional  Columbus
10/25/2015  1.04  conventional  Columbus
10/18/2015  0.98  conventional  Columbus
10/11/2015  0.9  conventional  Columbus
10/4/2015  0.93  conventional  Columbus
9/27/2015  1.02  conventional  Columbus
9/20/2015  1  conventional  Columbus
9/13/2015  1.02  conventional  Columbus
9/6/2015  1.04  conventional  Columbus
8/30/2015  1.03  conventional  Columbus
8/23/2015  1.08  conventional  Columbus
8/16/2015  1.03  conventional  Columbus
8/9/2015  1  conventional  Columbus
8/2/2015  1.05  conventional  Columbus
7/26/2015  1.02  conventional  Columbus
7/19/2015  1.05  conventional  Columbus
7/12/2015  1.04  conventional  Columbus
7/5/2015  0.98  conventional  Columbus
6/28/2015  0.94  conventional  Columbus
6/21/2015  0.99  conventional  Columbus
6/14/2015  1.01  conventional  Columbus
6/7/2015  1.03  conventional  Columbus
5/31/2015  1.1  conventional  Columbus
5/24/2015  1.01  conventional  Columbus
5/17/2015  1  conventional  Columbus
5/10/2015  1.1  conventional  Columbus
5/3/2015  0.99  conventional  Columbus
4/26/2015  1.02  conventional  Columbus
4/19/2015  1  conventional  Columbus
4/12/2015  1.07  conventional  Columbus
4/5/2015  1.09  conventional  Columbus
3/29/2015  0.96  conventional  Columbus
3/22/2015  0.94  conventional  Columbus
3/15/2015  1.01  conventional  Columbus
3/8/2015  0.95  conventional  Columbus
3/1/2015  1.03  conventional  Columbus
2/22/2015  1.09  conventional  Columbus
2/15/2015  1.05  conventional  Columbus
2/8/2015  0.96  conventional  Columbus
2/1/2015  0.87  conventional  Columbus
1/25/2015  1.08  conventional  Columbus
1/18/2015  1.02  conventional  Columbus
1/11/2015  0.97  conventional  Columbus
1/4/2015  0.89  conventional  Columbus
12/27/2015  0.8  conventional  DallasFtWorth
12/20/2015  0.82  conventional  DallasFtWorth
12/13/2015  0.79  conventional  DallasFtWorth
12/6/2015  0.74  conventional  DallasFtWorth
11/29/2015  0.8  conventional  DallasFtWorth
11/22/2015  0.78  conventional  DallasFtWorth
11/15/2015  0.71  conventional  DallasFtWorth
11/8/2015  0.8  conventional  DallasFtWorth
11/1/2015  0.78  conventional  DallasFtWorth
10/25/2015  0.86  conventional  DallasFtWorth
10/18/2015  0.83  conventional  DallasFtWorth
10/11/2015  0.81  conventional  DallasFtWorth
10/4/2015  0.82  conventional  DallasFtWorth
9/27/2015  0.84  conventional  DallasFtWorth
9/20/2015  0.77  conventional  DallasFtWorth
9/13/2015  0.86  conventional  DallasFtWorth
9/6/2015  0.84  conventional  DallasFtWorth
8/30/2015  0.82  conventional  DallasFtWorth
8/23/2015  0.85  conventional  DallasFtWorth
8/16/2015  0.88  conventional  DallasFtWorth
8/9/2015  0.85  conventional  DallasFtWorth
8/2/2015  0.87  conventional  DallasFtWorth
7/26/2015  0.8  conventional  DallasFtWorth
7/19/2015  0.82  conventional  DallasFtWorth
7/12/2015  0.82  conventional  DallasFtWorth
7/5/2015  0.83  conventional  DallasFtWorth
6/28/2015  0.77  conventional  DallasFtWorth
6/21/2015  0.75  conventional  DallasFtWorth
6/14/2015  0.65  conventional  DallasFtWorth
6/7/2015  0.73  conventional  DallasFtWorth
5/31/2015  0.68  conventional  DallasFtWorth
5/24/2015  0.81  conventional  DallasFtWorth
5/17/2015  0.73  conventional  DallasFtWorth
5/10/2015  0.75  conventional  DallasFtWorth
5/3/2015  0.77  conventional  DallasFtWorth
4/26/2015  0.81  conventional  DallasFtWorth
4/19/2015  0.8  conventional  DallasFtWorth
4/12/2015  0.72  conventional  DallasFtWorth
4/5/2015  0.77  conventional  DallasFtWorth
3/29/2015  0.79  conventional  DallasFtWorth
3/22/2015  0.67  conventional  DallasFtWorth
3/15/2015  0.72  conventional  DallasFtWorth
3/8/2015  0.75  conventional  DallasFtWorth
3/1/2015  0.82  conventional  DallasFtWorth
2/22/2015  0.8  conventional  DallasFtWorth
2/15/2015  0.77  conventional  DallasFtWorth
2/8/2015  0.67  conventional  DallasFtWorth
2/1/2015  0.68  conventional  DallasFtWorth
1/25/2015  0.8  conventional  DallasFtWorth
1/18/2015  0.76  conventional  DallasFtWorth
1/11/2015  0.76  conventional  DallasFtWorth
1/4/2015  0.74  conventional  DallasFtWorth
12/27/2015  0.98  conventional  Denver
12/20/2015  1.05  conventional  Denver
12/13/2015  0.83  conventional  Denver
12/6/2015  0.76  conventional  Denver
11/29/2015  1.12  conventional  Denver
11/22/2015  0.85  conventional  Denver
11/15/2015  0.82  conventional  Denver
11/8/2015  0.93  conventional  Denver
11/1/2015  0.82  conventional  Denver
10/25/2015  0.93  conventional  Denver
10/18/2015  0.87  conventional  Denver
10/11/2015  0.9  conventional  Denver
10/4/2015  1.02  conventional  Denver
9/27/2015  0.97  conventional  Denver
9/20/2015  0.98  conventional  Denver
9/13/2015  1.01  conventional  Denver
9/6/2015  1.09  conventional  Denver
8/30/2015  1.14  conventional  Denver
8/23/2015  1.2  conventional  Denver
8/16/2015  1.17  conventional  Denver
8/9/2015  1.09  conventional  Denver
8/2/2015  1.05  conventional  Denver
7/26/2015  1.18  conventional  Denver
7/19/2015  1.1  conventional  Denver
7/12/2015  1.18  conventional  Denver
7/5/2015  1.19  conventional  Denver
6/28/2015  1.2  conventional  Denver
6/21/2015  1.16  conventional  Denver
6/14/2015  1.16  conventional  Denver
6/7/2015  1.11  conventional  Denver
5/31/2015  1.26  conventional  Denver
5/24/2015  1.16  conventional  Denver
5/17/2015  1.21  conventional  Denver
5/10/2015  1.08  conventional  Denver
5/3/2015  1.01  conventional  Denver
4/26/2015  1.19  conventional  Denver
4/19/2015  1.08  conventional  Denver
4/12/2015  1.05  conventional  Denver
4/5/2015  1.19  conventional  Denver
3/29/2015  1.11  conventional  Denver
3/22/2015  1.15  conventional  Denver
